TheoryID,Name,Ascending Intervals,Descending Intervals,Tonic,Tuning,Culture,Country,Region,SocID,,Reference,RefID,Primary_source?,Reduced_scale,Notes
T0070,Bebop Melodic Minor,2;1;2;2;1;1;2;1,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0071,Bebop Dorian,2;1;1;1;2;2;1;2,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0072,Jazz Minor,2;1;2;2;2;2;1,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0073,Jazz Harmonic Minor,2;1;2;2;1;3;1,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0074,Augmented,2;2;2;2;2;2,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0075,Diminished,1;2;1;2;1;2;1;2,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0076,Ryo,2;2;3;2;3,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0077,Ritsu,2;3;2;2;3,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0078,Minyo,3;2;2;3;2,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0079,Hirajoshi,2;1;4;1;4,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0080,Kumoi Joshi,1;4;2;1;4,N/A,1,Pythagorean,Japanese,Japan,East Asia,Jap5,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
